Program, File, Original Size, Compressed Size, Compression Ratio, Time, Nerdy Time
LZSS,kennedy.xls,1005.6 KB,281.4 KB,3.5739239987921994,7.369 s,7369
LZSS,lcet10.txt,416.8 KB,195.4 KB,2.1331940376098455,2.682 s,2682
LZSS,mr.dat,9.5 MB,4.5 MB,2.1244888570789953,45.172 s,45172
LZSS,news.dat,378.1 KB,192.8 KB,1.9611088880221657,2.72 s,2072
LZSS,obj1.dat,21.0 KB,12.0 KB,1.7529958425042798,199 ms,199
LZSS,obj2.dat,241.0 KB,100.7 KB,2.394160442331943,1.97 s,1097
LZSS,ooffice.dat,5.9 MB,3.6 MB,1.6249563531116467,38.547 s,38547
LZSS,osdb.dat,9.6 MB,7.2 MB,1.3361367560137312,1 m 27 s,87189
LZSS,paper1.dat,53.1 KB,24.1 KB,2.2028744939271254,313 ms,313
LZSS,paper2.dat,82.0 KB,39.1 KB,2.0963109124060244,495 ms,495
LZSS,pic.dat,501.2 KB,102.9 KB,4.870469664904672,1.41 s,1041
LZSS,plrabn12.txt,470.6 KB,256.7 KB,1.8331538961952987,2.584 s,2584
LZSS,progc.dat,40.1 KB,17.3 KB,2.3172079386558413,223 ms,223
LZSS,progl.dat,72.2 KB,22.2 KB,3.247769328820711,284 ms,284
LZSS,progp.dat,50.1 KB,15.3 KB,3.278107642214135,247 ms,247
LZSS,ptt5,501.2 KB,102.9 KB,4.870469664904672,1.124 s,1124
LZSS,reymont.dat,6.3 MB,2.5 MB,2.5573009739982857,26.224 s,26224
LZSS,samba.dat,20.6 MB,7.7 MB,2.676080045093455,1 m 19 s,79835
LZSS,sao.dat,6.9 MB,5.8 MB,1.2004425051965226,1 m 7 s,67381
LZSS,sum,37.3 KB,17.4 KB,2.142536978933214,509 ms,509
LZSS,trans.dat,91.5 KB,33.0 KB,2.7723695111847557,456 ms,456
LZSS,x-ray.dat,8.1 MB,6.9 MB,1.167100058849154,1 m 13 s,73011
LZSS,xargs.1,4.2 KB,2.1 KB,2.0266230733302195,58 ms,58
LZSS,xml.dat,5.1 MB,1.2 MB,4.130997941178289,9.990 s,9990
LZSS,Average, , ,2.395154979774209,15.75 s,15075.558823529413
LZSS + deltas,alice29.txt,148.5 KB,71.4 KB,2.0799917943107222,811 ms,811
LZSS + deltas,asyoulik.txt,126.3 KB,64.4 KB,1.9610076437757826,737 ms,737
LZSS + deltas,bib.dat,114.8 KB,52.1 KB,2.2029164792322686,608 ms,608
LZSS + deltas,book1.dat,750.8 KB,414.0 KB,1.8135454877861785,4.114 s,4114
LZSS + deltas,book2.dat,611.8 KB,282.3 KB,2.166953177153412,2.805 s,2805
LZSS + deltas,cp.html,24.7 KB,10.8 KB,2.2915229624251223,310 ms,310
LZSS + deltas,dickens.dat,9.7 MB,5.0 MB,1.94356472157251,50.47 s,50047
LZSS + deltas,fields.c,11.3 KB,3.8 KB,2.985563289507605,96 ms,96
LZSS + deltas,geo.dat,100.0 KB,81.4 KB,1.2285690290225437,813 ms,813
LZSS + deltas,grammar.lsp,3.7 KB,1.5 KB,2.4708549222797926,61 ms,61
LZSS + deltas,kennedy.xls,1005.6 KB,281.4 KB,3.5739239987921994,2.709 s,2709
LZSS + deltas,lcet10.txt,416.8 KB,195.4 KB,2.1331940376098455,1.962 s,1962
LZSS + deltas,mr.dat,9.5 MB,4.5 MB,2.1244888570789953,41.453 s,41453
LZSS + deltas,news.dat,378.1 KB,192.8 KB,1.9611088880221657,2.73 s,2073
LZSS + deltas,obj1.dat,21.0 KB,12.0 KB,1.7529958425042798,232 ms,232
LZSS + deltas,obj2.dat,241.0 KB,100.7 KB,2.394160442331943,1.73 s,1073
LZSS + deltas,ooffice.dat,5.9 MB,3.6 MB,1.6249563531116467,39.453 s,39453
LZSS + deltas,osdb.dat,9.6 MB,7.2 MB,1.3361367560137312,1 m 26 s,86872
LZSS + deltas,paper1.dat,53.1 KB,24.1 KB,2.2028744939271254,286 ms,286
LZSS + deltas,paper2.dat,82.0 KB,39.1 KB,2.0963109124060244,455 ms,455
LZSS + deltas,pic.dat,501.2 KB,102.9 KB,4.870469664904672,964 ms,964
LZSS + deltas,plrabn12.txt,470.6 KB,256.7 KB,1.8331538961952987,2.513 s,2513
LZSS + deltas,progc.dat,40.1 KB,17.3 KB,2.3172079386558413,228 ms,228
LZSS + deltas,progl.dat,72.2 KB,22.2 KB,3.247769328820711,243 ms,243
