Program, File, Original Size, Compressed Size, Compression Ratio
Adaptive Huffman,mr.dat,9.5 MB,4.4 MB,2.148994254
Adaptive Huffman,news.dat,368.3 KB,241.9 KB,1.522510083
Adaptive Huffman,obj1.dat,21.0 KB,16.5 KB,1.272426036
Adaptive Huffman,obj2.dat,241.0 KB,196.5 KB,1.22653905
Adaptive Huffman,ooffice.dat,5.9 MB,4.9 MB,1.2054577
Adaptive Huffman,osdb.dat,9.6 MB,8.0 MB,1.208879924
Adaptive Huffman,paper1.dat,51.9 KB,33.3 KB,1.558288143
Adaptive Huffman,paper2.dat,80.3 KB,47.1 KB,1.705019705
Adaptive Huffman,pic.dat,501.2 KB,105.8 KB,4.738880322
Adaptive Huffman,progc.dat,38.7 KB,25.9 KB,1.490985057
Adaptive Huffman,progl.dat,70.0 KB,42.9 KB,1.629392099
Adaptive Huffman,progp.dat,48.2 KB,30.1 KB,1.601238731
Adaptive Huffman,reymont.dat,6.3 MB,3.8 MB,1.641744472
Adaptive Huffman,samba.dat,20.6 MB,15.1 MB,1.367230522
Adaptive Huffman,sao.dat,6.9 MB,6.5 MB,1.060587633
Adaptive Huffman,trans.dat,91.5 KB,65.2 KB,1.404112155
Adaptive Huffman,x-ray.dat,8.1 MB,6.5 MB,1.236448188
Adaptive Huffman,xml.dat,5.1 MB,3.5 MB,1.472074326
Adaptive Huffman,Average, , ,1.29559777
WinRAR m1,bib.dat,108.7 KB,40.5 KB,2.684869691
WinRAR m1,book1.dat,750.8 KB,351.1 KB,2.138177419
WinRAR m1,book2.dat,596.5 KB,234.5 KB,2.543643556
WinRAR m1,cbib.dat,34.4 KB,34.5 KB,0.997763244
WinRAR m1,cbook1.dat,306.2 KB,306.3 KB,0.999741771
WinRAR m1,cbook2.dat,201.8 KB,201.9 KB,0.999608236
WinRAR m1,cdickens.dat,3.7 MB,3.7 MB,0.999978563
WinRAR m1,cgeo.dat,66.8 KB,66.9 KB,0.998847119
WinRAR m1,cmozilla.dat,18.2 MB,18.1 MB,1.005819845
WinRAR m1,cmr.dat,3.5 MB,3.5 MB,0.999978781
WinRAR m1,cnci.dat,3.1 MB,3.0 MB,1.003257562
WinRAR m1,cnews.dat,141.4 KB,141.5 KB,0.999447865
WinRAR m1,cobj1.dat,10.1 KB,10.2 KB,0.992314343
WinRAR m1,cobj2.dat,79.6 KB,79.7 KB,0.999019572
WinRAR m1,cooffice.dat,3.0 MB,3.0 MB,1.000058764
WinRAR m1,cosdb.dat,3.5 MB,3.5 MB,0.999978351
WinRAR m1,cpaper1.dat,18.1 KB,18.2 KB,0.995603689
WinRAR m1,cpaper2.dat,29.1 KB,29.2 KB,0.997253299
WinRAR m1,cpic.dat,55.2 KB,54.9 KB,1.004607065
WinRAR m1,cprogc.dat,13.0 KB,13.1 KB,0.99397142
WinRAR m1,cprogl.dat,15.9 KB,16.0 KB,0.995045265
WinRAR m1,cprogp.dat,11.0 KB,11.1 KB,0.992845155
WinRAR m1,creymont.dat,1.8 MB,1.8 MB,0.9999554
WinRAR m1,csamba.dat,5.2 MB,5.1 MB,1.018450269
WinRAR m1,csao.dat,5.1 MB,5.1 MB,0.999985183
WinRAR m1,ctrans.dat,18.6 KB,18.7 KB,0.995767583
WinRAR m1,cwebster.dat,11.6 MB,11.6 MB,0.999993205
WinRAR m1,cx-ray.dat,5.8 MB,5.8 MB,0.999986601
WinRAR m1,cxml.dat,671.9 KB,672.0 KB,0.999885189
WinRAR m1,dickens.dat,9.7 MB,4.2 MB,2.290949034
WinRAR m1,geo.dat,100.0 KB,61.8 KB,1.616952739
WinRAR m1,mr.dat,9.5 MB,3.4 MB,2.760584735
WinRAR m1,news.dat,368.3 KB,147.9 KB,2.490401189
WinRAR m1,obj1.dat,21.0 KB,10.3 KB,2.044300789
WinRAR m1,obj2.dat,241.0 KB,83.2 KB,2.896673943
WinRAR m1,ooffice.dat,5.9 MB,3.0 MB,1.978460791
WinRAR m1,osdb.dat,9.6 MB,3.7 MB,2.578236304
WinRAR m1,paper1.dat,51.9 KB,20.6 KB,2.516616171
WinRAR m1,paper2.dat,80.3 KB,33.9 KB,2.364622289
WinRAR m1,pic.dat,501.2 KB,57.0 KB,8.799547348
WinRAR m1,progc.dat,38.7 KB,14.6 KB,2.646732594
WinRAR m1,progl.dat,70.0 KB,18.7 KB,3.748940401
WinRAR m1,progp.dat,48.2 KB,12.6 KB,3.827532749
WinRAR m1,reymont.dat,6.3 MB,2.2 MB,2.926283914
WinRAR m1,samba.dat,20.6 MB,5.3 MB,3.879206413
WinRAR m1,sao.dat,6.9 MB,5.1 MB,1.349547381
WinRAR m1,trans.dat,91.5 KB,21.5 KB,4.247280145
WinRAR m1,x-ray.dat,8.1 MB,5.5 MB,1.481347334
WinRAR m1,xml.dat,5.1 MB,854.9 KB,6.105932668
WinRAR m1,Average, , ,1.957265366
WinRAR m2,bib.dat,108.7 KB,32.8 KB,3.311930702
WinRAR m2,book1.dat,750.8 KB,276.6 KB,2.71387773
WinRAR m2,book2.dat,596.5 KB,180.8 KB,3.298750392
WinRAR m2,cbib.dat,34.4 KB,34.5 KB,0.997763244
WinRAR m2,cbook1.dat,306.2 KB,306.3 KB,0.999741771
WinRAR m2,cbook2.dat,201.8 KB,201.9 KB,0.999608236
WinRAR m2,cdickens.dat,3.7 MB,3.7 MB,0.999978563
WinRAR m2,cgeo.dat,66.8 KB,66.9 KB,0.998847119
WinRAR m2,cmozilla.dat,18.2 MB,18.1 MB,1.006213823
WinRAR m2,cmr.dat,3.5 MB,3.5 MB,0.999978781
WinRAR m2,cnci.dat,3.1 MB,3.0 MB,1.005435611
WinRAR m2,cnews.dat,141.4 KB,141.5 KB,0.999447865
WinRAR m2,cobj1.dat,10.1 KB,10.2 KB,0.992314343
WinRAR m2,cobj2.dat,79.6 KB,79.7 KB,0.999019572
WinRAR m2,cooffice.dat,3.0 MB,3.0 MB,0.999973203
WinRAR m2,cosdb.dat,3.5 MB,3.5 MB,0.999978351
WinRAR m2,cpaper1.dat,18.1 KB,18.2 KB,0.995603689
WinRAR m2,cpaper2.dat,29.1 KB,29.2 KB,0.997253299
WinRAR m2,cpic.dat,55.2 KB,54.9 KB,1.003839249
WinRAR m2,cprogc.dat,13.0 KB,13.1 KB,0.99397142
WinRAR m2,cprogl.dat,15.9 KB,16.0 KB,0.995045265
WinRAR m2,cprogp.dat,11.0 KB,11.1 KB,0.992845155
WinRAR m2,creymont.dat,1.8 MB,1.8 MB,0.9999554
WinRAR m2,csamba.dat,5.2 MB,5.1 MB,1.019117031
WinRAR m2,csao.dat,5.1 MB,5.1 MB,0.999985183
WinRAR m2,ctrans.dat,18.6 KB,18.7 KB,0.995767583
WinRAR m2,cwebster.dat,11.6 MB,11.6 MB,0.999993205
WinRAR m2,cx-ray.dat,5.8 MB,5.8 MB,0.999986601
WinRAR m2,cxml.dat,671.9 KB,672.0 KB,0.999885189
WinRAR m2,dickens.dat,9.7 MB,3.1 MB,3.150397383
WinRAR m2,geo.dat,100.0 KB,61.9 KB,1.616493283
WinRAR m2,mr.dat,9.5 MB,3.1 MB,3.061661507
WinRAR m2,news.dat,368.3 KB,124.9 KB,2.947707003
WinRAR m2,obj1.dat,21.0 KB,9.7 KB,2.166213358
WinRAR m2,obj2.dat,241.0 KB,71.0 KB,3.392539037
WinRAR m2,ooffice.dat,5.9 MB,2.6 MB,2.246007547
WinRAR m2,osdb.dat,9.6 MB,3.2 MB,3.041531199
WinRAR m2,paper1.dat,51.9 KB,17.9 KB,2.899269197
WinRAR m2,paper2.dat,80.3 KB,28.5 KB,2.817349877
WinRAR m2,pic.dat,501.2 KB,50.7 KB,9.891795
WinRAR m2,progc.dat,38.7 KB,13.0 KB,2.974915509
WinRAR m2,progl.dat,70.0 KB,15.6 KB,4.471447295
WinRAR m2,progp.dat,48.2 KB,10.7 KB,4.518162686
WinRAR m2,reymont.dat,6.3 MB,1.6 MB,3.99097286
WinRAR m2,samba.dat,20.6 MB,4.1 MB,4.986494296
WinRAR m2,sao.dat,6.9 MB,4.8 MB,1.446448674
WinRAR m2,trans.dat,91.5 KB,17.9 KB,5.123024769
WinRAR m2,x-ray.dat,8.1 MB,5.1 MB,1.58472869
WinRAR m2,xml.dat,5.1 MB,509.1 KB,10.25353388
WinRAR m2,Average, , ,2.283608176
WinRAR m3,bib.dat,108.7 KB,32.3 KB,3.363798525
WinRAR m3,book1.dat,750.8 KB,270.7 KB,2.773874514
WinRAR m3,book2.dat,596.5 KB,177.0 KB,3.370649127
WinRAR m3,cbib.dat,34.4 KB,34.5 KB,0.997763244
WinRAR m3,cbook1.dat,306.2 KB,306.3 KB,0.999741771
WinRAR m3,cbook2.dat,201.8 KB,201.9 KB,0.999608236
WinRAR m3,cdickens.dat,3.7 MB,3.7 MB,0.999978563
WinRAR m3,cgeo.dat,66.8 KB,66.9 KB,0.998847119
WinRAR m3,cmozilla.dat,18.2 MB,18.1 MB,1.006241351
WinRAR m3,cmr.dat,3.5 MB,3.5 MB,0.999978781
WinRAR m3,cnci.dat,3.1 MB,3.0 MB,1.005486787
WinRAR m3,cnews.dat,141.4 KB,141.5 KB,0.999447865
WinRAR m3,cobj1.dat,10.1 KB,10.2 KB,0.992314343
WinRAR m3,cobj2.dat,79.6 KB,79.7 KB,0.999019572
WinRAR m3,cooffice.dat,3.0 MB,3.0 MB,0.999973203
WinRAR m3,cosdb.dat,3.5 MB,3.5 MB,0.999978351
WinRAR m3,cpaper1.dat,18.1 KB,18.2 KB,0.995603689
WinRAR m3,cpaper2.dat,29.1 KB,29.2 KB,0.997253299
WinRAR m3,cpic.dat,55.2 KB,54.9 KB,1.003839249
WinRAR m3,cprogc.dat,13.0 KB,13.1 KB,0.99397142
WinRAR m3,cprogl.dat,15.9 KB,16.0 KB,0.995045265
WinRAR m3,cprogp.dat,11.0 KB,11.1 KB,0.992845155
WinRAR m3,creymont.dat,1.8 MB,1.8 MB,0.9999554
WinRAR m3,csamba.dat,5.2 MB,5.1 MB,1.019217826
WinRAR m3,csao.dat,5.1 MB,5.1 MB,0.999985183
WinRAR m3,ctrans.dat,18.6 KB,18.7 KB,0.995767583
WinRAR m3,cwebster.dat,11.6 MB,11.6 MB,0.999993205
WinRAR m3,cx-ray.dat,5.8 MB,5.8 MB,0.999986601
WinRAR m3,cxml.dat,671.9 KB,672.0 KB,0.999885189
WinRAR m3,dickens.dat,9.7 MB,3.0 MB,3.262819981
WinRAR m3,geo.dat,100.0 KB,61.0 KB,1.638819538
WinRAR m3,mr.dat,9.5 MB,2.7 MB,3.575862821
WinRAR m3,news.dat,368.3 KB,123.1 KB,2.992334854
WinRAR m3,obj1.dat,21.0 KB,9.6 KB,2.185143786
WinRAR m3,obj2.dat,241.0 KB,69.6 KB,3.461966813
WinRAR m3,ooffice.dat,5.9 MB,2.2 MB,2.66680769
WinRAR m3,osdb.dat,9.6 MB,3.1 MB,3.063179526
WinRAR m3,paper1.dat,51.9 KB,17.8 KB,2.923182668
WinRAR m3,paper2.dat,80.3 KB,28.1 KB,2.852547196
WinRAR m3,pic.dat,501.2 KB,48.7 KB,10.29685807
WinRAR m3,progc.dat,38.7 KB,12.9 KB,2.999015748
WinRAR m3,progl.dat,70.0 KB,15.4 KB,4.529110563
WinRAR m3,progp.dat,48.2 KB,10.6 KB,4.563678373
WinRAR m3,reymont.dat,6.3 MB,1.5 MB,4.237333304
WinRAR m3,samba.dat,20.6 MB,4.0 MB,5.129062153
WinRAR m3,sao.dat,6.9 MB,5.3 MB,1.308183262
WinRAR m3,trans.dat,91.5 KB,17.6 KB,5.19661675
WinRAR m3,x-ray.dat,8.1 MB,3.9 MB,2.04803044
WinRAR m3,xml.dat,5.1 MB,490.2 KB,10.64966529
WinRAR m3,Average, , ,2.348576923
WinRAR m4,bib.dat,108.7 KB,32.3 KB,3.366852267
WinRAR m4,book1.dat,750.8 KB,269.5 KB,2.786007828
WinRAR m4,book2.dat,596.5 KB,176.1 KB,3.386758036
WinRAR m4,cbib.dat,34.4 KB,34.5 KB,0.997763244
WinRAR m4,cbook1.dat,306.2 KB,306.3 KB,0.999741771
WinRAR m4,cbook2.dat,201.8 KB,201.9 KB,0.999608236
WinRAR m4,cdickens.dat,3.7 MB,3.7 MB,0.999978563
WinRAR m4,cgeo.dat,66.8 KB,66.9 KB,0.998847119
WinRAR m4,cmozilla.dat,18.2 MB,18.1 MB,1.006241828
WinRAR m4,cmr.dat,3.5 MB,3.5 MB,0.999978781
WinRAR m4,cnci.dat,3.1 MB,3.0 MB,1.005486787
WinRAR m4,cnews.dat,141.4 KB,141.5 KB,0.999447865
WinRAR m4,cobj1.dat,10.1 KB,10.2 KB,0.992314343
WinRAR m4,cobj2.dat,79.6 KB,79.7 KB,0.999019572
WinRAR m4,cooffice.dat,3.0 MB,3.0 MB,0.999973203
WinRAR m4,cosdb.dat,3.5 MB,3.5 MB,0.999978351
WinRAR m4,cpaper1.dat,18.1 KB,18.2 KB,0.995603689
WinRAR m4,cpaper2.dat,29.1 KB,29.2 KB,0.997253299
WinRAR m4,cpic.dat,55.2 KB,54.9 KB,1.003839249
WinRAR m4,cprogc.dat,13.0 KB,13.1 KB,0.99397142
WinRAR m4,cprogl.dat,15.9 KB,16.0 KB,0.995045265
WinRAR m4,cprogp.dat,11.0 KB,11.1 KB,0.992845155
WinRAR m4,creymont.dat,1.8 MB,1.8 MB,0.9999554
WinRAR m4,csamba.dat,5.2 MB,5.1 MB,1.019217826
WinRAR m4,csao.dat,5.1 MB,5.1 MB,0.999985183
WinRAR m4,ctrans.dat,18.6 KB,18.7 KB,0.995767583
WinRAR m4,cwebster.dat,11.6 MB,11.6 MB,0.999993205
WinRAR m4,cx-ray.dat,5.8 MB,5.8 MB,0.999986601
WinRAR m4,cxml.dat,671.9 KB,672.0 KB,0.999885189
WinRAR m4,dickens.dat,9.7 MB,2.9 MB,3.3207819
WinRAR m4,geo.dat,100.0 KB,61.0 KB,1.639633004
WinRAR m4,mr.dat,9.5 MB,2.7 MB,3.576969922
WinRAR m4,news.dat,368.3 KB,122.9 KB,2.996662508
WinRAR m4,obj1.dat,21.0 KB,9.6 KB,2.185143786
WinRAR m4,obj2.dat,241.0 KB,69.6 KB,3.464931491
WinRAR m4,ooffice.dat,5.9 MB,2.2 MB,2.674098737
WinRAR m4,osdb.dat,9.6 MB,3.1 MB,3.109569672
WinRAR m4,paper1.dat,51.9 KB,17.8 KB,2.924308268
WinRAR m4,paper2.dat,80.3 KB,28.1 KB,2.855024139
WinRAR m4,pic.dat,501.2 KB,48.5 KB,10.32877153
WinRAR m4,progc.dat,38.7 KB,12.9 KB,3.000606015
WinRAR m4,progl.dat,70.0 KB,15.4 KB,4.534269983
WinRAR m4,progp.dat,48.2 KB,10.6 KB,4.566210468
WinRAR m4,reymont.dat,6.3 MB,1.4 MB,4.388948161
WinRAR m4,samba.dat,20.6 MB,4.0 MB,5.159691723
WinRAR m4,sao.dat,6.9 MB,5.3 MB,1.308951605
WinRAR m4,trans.dat,91.5 KB,17.6 KB,5.202098717
WinRAR m4,x-ray.dat,8.1 MB,3.9 MB,2.048136367
WinRAR m4,xml.dat,5.1 MB,481.9 KB,10.83127999
WinRAR m4,Average, , ,2.360151732
WinRAR m5,bib.dat,108.7 KB,32.3 KB,3.369095203
WinRAR m5,book1.dat,750.8 KB,269.2 KB,2.789191837
WinRAR m5,book2.dat,596.5 KB,176.0 KB,3.389407685
WinRAR m5,cbib.dat,34.4 KB,34.5 KB,0.997763244
WinRAR m5,cbook1.dat,306.2 KB,306.3 KB,0.999741771
